movie_budget,duration,nb_news_articles,actor1_star_meter,actor2_star_meter,actor3_star_meter,nb_faces,movie_meter_IMDBpro,distributor_dummy,production_company_dummy,maturity_R,maturity_PG13,maturity_PG,maturity_Others,country_USA,month_Jan,month_Feb,month_Mar,month_Apr,month_May,month_Jun,month_Jul,month_Aug,month_Sep,month_Oct,month_Nov,month_Dec,genre_Documentary,genre_Animation,genre_Biography,genre_Action,genre_Crime,genre_Drama,genre_Adventure,genre_Fantasy,genre_Comedy,genre_Sport,genre_Horror,genre_Mystery,genre_Thriller,genre_Family,blockbuster_month,aspect_ratio_2_35,aspect_ratio_1_85,aspect_ratio_others
"10,000,000",72,2,1962,2371,3371,3,19895,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"1,000,000",107,8,1041,2303,3297,3,12158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
"270,000,000",105,1042,21,490,2177,4,370,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
"30,000,000",133,243,1230,2921,3028,3,1470,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
"14,000,000",103,312,13,211,384,10,1231,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0
"50,000,000",107,289,125,336,834,1,170,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
"200,000,000",157,530,142,921,981,7,167,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
"90,000,000",92,156,99,421,708,0,664,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
"15,000,000",102,84,185,472,1330,0,6136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
"50,000,000",100,113,74,691,1271,1,426,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"200,000,000",92,263,363,467,470,2,147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
"130,000,000",158,558,121,350,1182,1,235,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
